match_id,match_run_time_in_ms,match_run_time,match_time_in_ms,event_id,relevant_event_id,team_id,from_player_id_x,player_seq_id,event_order,half_time,category,event_type,event,side,x,x_mirrored,y,y_mirrored,action_type,to_player_id,sequence_type,outcome,outcome_additional,opposition_touch,body_type,direction,pressure,style,style_additional,frame_location,game_state,game_period,game_period_additional,game_involvement,origin,origin_additional,save_type,save_detail,stance,x_frame,y_frame,movement,offering_to_receive_total_units,line_break_direction,line_break_outcome,team_shape,team_unit,team_units_broken,total_team_units,event_end_time_in_ms,x_location_start,x_location_start_mirrored,x_location_end,x_location_end_mirrored,y_location_start,y_location_start_mirrored,y_location_end,y_location_end_mirrored,version,team_name_x,from_player_name_x,from_player_shirt_number,to_player_name,to_player_shirt_number,from_player_id_y,from_player_name_y,team_name_y,syn_F_fast,syn_F_slow,syn_f_i,syn_I_burst,syn_I_burst_long,syn_contact,syn_quick_chain,v_i_max,a_i_max,d_i_max,tau_i_react,tau_i_turn,is_gk,tau_GK_react,r_GK,v_dive,v_i_eff,a_i_eff,d_i_eff,tau_i_react_eff,tau_i_turn_eff
143163,0,00:00:00,0,1,,0,0,1,1,1,referee_action,game_period_action,game_period_start,,,,,,,,,,,,,,,,,,,first_half,,,,,,,,,,,,,,,,,,,,,,,,,,,v1.2,TEAM REFEREES,REFEREE,,,,0,REFEREE,TEAM REFEREES,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.6,3.4481132075471694,4.3101415094339615,0.244,0.324,0,,,,8.6,3.4481132075471694,4.3101415094339615,0.244,0.324
143163,172,00:00:00,172,2,,1915196,484927,2,1,1,in_possession,start_restart,kickoff,l,0.505142867565155,0.505142867565155,0.4969117641448974,0.4969117641448974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.505142867565155,0.505142867565155,0.3796190619468689,0.3796190619468689,0.4969117641448974,0.4969117641448974,0.4405882358551025,0.4405882358551025,v1.2,COLOMBIA,MAITHE LOPEZ,9.0,,,484927,MAITHE LOPEZ,COLOMBIA,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.6,3.4481132075471694,4.3101415094339615,0.244,0.324,0,,,,8.6,3.4481132075471694,4.3101415094339615,0.244,0.324
143163,172,00:00:00,172,3,7.0,1915196,484927,2,2,1,in_possession,distribution,pass,l,0.505142867565155,0.505142867565155,0.4969117641448974,0.4969117641448974,,488094.0,,possession_complete,,,right_foot,,no_pressure,push,,,,,,,,,,,,,,,,,no_line_break,,,,,,0.505142867565155,0.505142867565155,0.3796190619468689,0.3796190619468689,0.4969117641448974,0.4969117641448974,0.4405882358551025,0.4405882358551025,v1.2,COLOMBIA,MAITHE LOPEZ,9.0,SAMANTHA RODRIGUEZ,16.0,484927,MAITHE LOPEZ,COLOMBIA,0.94,0.999,0.9636,0.3,0.01,0.0,1.0,8.6,3.4481132075471694,4.3101415094339615,0.244,0.324,0,,,,8.52174,3.3979086792452824,4.278763679245283,0.2484408,0.3298968
143163,433,00:00:00,433,4,,1916472,490596,3,1,1,out_of_possession,defensive_pressure,pushing_on,r,0.4999047517776489,0.5000952482223511,0.6351470351219177,0.3648529350757599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v1.2,USA,MARY LONG,20.0,,,490596,MARY LONG,USA,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.318491405910916,2.934300799539754,3.667875999424692,0.244,0.324,0,,,,7.318491405910916,2.934300799539754,3.667875999424692,0.244,0.324
143163,1773,00:00:01,1773,5,,1915196,484927,2,3,1,in_possession,possession_outcome,possession_outcome,l,0.3796190619468689,0.3796190619468689,0.4405882358551025,0.4405882358551025,,,possession,possession_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v1.2,COLOMBIA,MAITHE LOPEZ,9.0,,,484927,MAITHE LOPEZ,COLOMBIA,0.8820971396771455,0.9970026647764962,0.9280593497168858,0.3,0.02,0.0,1.0,8.6,3.4481132075471694,4.3101415094339615,0.244,0.324,0,,,,8.445327601891304,3.348889404986874,4.248126632833777,0.2527767593345399,0.3356543853458645
143163,1815,00:00:01,1815,6,,1915196,488094,4,1,1,in_possession,offering_to_receive,no_offer,l,0.3763809502124786,0.3763809502124786,0.4320588111877441,0.4320588111877441,,,,,,,,,,,,,,,,,,,,,,,,no_movement,2.0,,,,,,2.0,1815.0,,,,,,,,,v1.2,COLOMBIA,SAMANTHA RODRIGUEZ,16.0,,,488094,SAMANTHA RODRIGUEZ,COLOMBIA,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.6,3.4481132075471694,4.3101415094339615,0.244,0.324,0,,,,8.6,3.4481132075471694,4.3101415094339615,0.244,0.324
143163,1815,00:00:01,1815,7,3.0,1915196,488094,4,2,1,in_possession,receiving_possession,reception,l,0.3763809502124786,0.3763809502124786,0.4320588111877441,0.4320588111877441,kickoff,,,,,,,,no_pressure,,,,,,,,,,,,,,,,,,,inside,in_front,,2.0,,0.3763809502124786,0.3763809502124786,0.3734285831451416,0.3734285831451416,0.4320588111877441,0.4320588111877441,0.4527941048145294,0.4527941048145294,v1.2,COLOMBIA,SAMANTHA RODRIGUEZ,16.0,,,488094,SAMANTHA RODRIGUEZ,COLOMBIA,0.94,0.999,0.9636,0.3,0.01,0.0,1.0,8.6,3.4481132075471694,4.3101415094339615,0.244,0.324,0,,,,8.52174,3.3979086792452824,4.278763679245283,0.2484408,0.3298968
143163,1815,00:00:01,1815,8,11.0,1915196,488094,4,3,1,in_possession,distribution,pass,l,0.3763809502124786,0.3763809502124786,0.4320588111877441,0.4320588111877441,,488078.0,,possession_complete,,,left_foot,,no_pressure,push,,,,,,,,,,,,,,,,,no_line_break,,,,,,0.3763809502124786,0.3763809502124786,0.3734285831451416,0.3734285831451416,0.4320588111877441,0.4320588111877441,0.4527941048145294,0.4527941048145294,v1.2,COLOMBIA,SAMANTHA RODRIGUEZ,16.0,ISABEL WEINER,6.0,488094,SAMANTHA RODRIGUEZ,COLOMBIA,0.8799999999999999,0.997,0.9268,0.3,0.02,0.0,1.0,8.6,3.4481132075471694,4.3101415094339615,0.244,0.324,0,,,,8.44262,3.3471524528301884,4.2470410377358485,0.2529304,0.3358584
143163,2947,00:00:02,2947,9,,1915196,488094,4,4,1,in_possession,possession_outcome,possession_outcome,l,0.3734285831451416,0.3734285831451416,0.4527941048145294,0.4527941048145294,,,possession,possession_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v1.2,COLOMBIA,SAMANTHA RODRIGUEZ,16.0,,,488094,SAMANTHA RODRIGUEZ,COLOMBIA,0.8229810149256924,0.9940056546640896,0.8913908708210513,0.3,0.0299999999999999,0.0,1.0,8.6,3.4481132075471694,4.3101415094339615,0.244,0.324,0,,,,8.36649037226526,3.2983145784343177,4.216517366238429,0.2572503137598317,0.3415946789269897
143163,2972,00:00:02,2972,10,,1915196,488078,5,1,1,in_possession,offering_to_receive,no_offer,l,0.3683809638023376,0.3683809638023376,0.4610294103622436,0.4610294103622436,,,,,,,,,,,,,,,,,,,,,,,,no_movement,2.0,,,,,,2.0,2972.0,,,,,,,,,v1.2,COLOMBIA,ISABEL WEINER,6.0,,,488078,ISABEL WEINER,COLOMBIA,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.6,3.4481132075471694,4.3101415094339615,0.244,0.324,0,,,,8.6,3.4481132075471694,4.3101415094339615,0.244,0.324
143163,2972,00:00:02,2972,11,8.0,1915196,488078,5,2,1,in_possession,receiving_possession,reception,l,0.3683809638023376,0.3683809638023376,0.4610294103622436,0.4610294103622436,pass,,,,,,,,no_pressure,,,,,,,,,,,,,,,,,,,inside,in_front,,2.0,,0.3683809638023376,0.3683809638023376,0.6874285936355591,0.6874285936355591,0.4610294103622436,0.4610294103622436,0.756323516368866,0.756323516368866,v1.2,COLOMBIA,ISABEL WEINER,6.0,,,488078,ISABEL WEINER,COLOMBIA,0.94,0.999,0.9636,0.3,0.01,0.0,1.0,8.6,3.4481132075471694,4.3101415094339615,0.244,0.324,0,,,,8.52174,3.3979086792452824,4.278763679245283,0.2484408,0.3298968
143163,2972,00:00:02,2972,12,,1915196,488078,5,3,1,in_possession,distribution,pass,l,0.3683809638023376,0.3683809638023376,0.4610294103622436,0.4610294103622436,,,,possession_incomplete,player_on_ball_error,,right_foot,,no_pressure,lofted,,,,,,,,,,,,,,,,over,line_break_incomplete,inside,,1,2.0,,0.3683809638023376,0.3683809638023376,0.6874285936355591,0.6874285936355591,0.4610294103622436,0.4610294103622436,0.756323516368866,0.756323516368866,v1.2,COLOMBIA,ISABEL WEINER,6.0,,,488078,ISABEL WEINER,COLOMBIA,0.8799999999999999,0.997,0.9268,0.3,0.02,0.0,1.0,8.6,3.4481132075471694,4.3101415094339615,0.244,0.324,0,,,,8.44262,3.3471524528301884,4.2470410377358485,0.2529304,0.3358584
143163,2990,00:00:02,2990,13,,1916472,490596,3,2,1,out_of_possession,possession_outcome,possession_outcome,r,0.4284761846065521,0.5715237855911255,0.4932352900505066,0.5067647099494934,,,possession,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v1.2,USA,MARY LONG,20.0,,,490596,MARY LONG,USA,0.94,0.999,0.9636,0.3,0.01,0.0,1.0,7.318491405910916,2.934300799539754,3.667875999424692,0.244,0.324,0,,,,7.251893134117127,2.891577379898455,3.641173862148881,0.2484408,0.3298968
143163,5817,00:00:05,5817,14,,1916472,490599,6,1,1,out_of_possession,defensive_event,clearance,r,0.6911428570747375,0.3088571429252624,0.7604411840438843,0.2395588308572769,loose_ball_clearance,,,possession_interrupted,,,head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v1.2,USA,KATIE SCOTT,15.0,,,490599,KATIE SCOTT,USA,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.318491405910916,2.934300799539754,3.667875999424692,0.244,0.324,0,,,,7.318491405910916,2.934300799539754,3.667875999424692,0.244,0.324
143163,5835,00:00:05,5835,15,,1915196,488078,5,4,1,in_possession,possession_outcome,possession_outcome,l,0.6874285936355591,0.6874285936355591,0.756323516368866,0.756323516368866,misplaced,,possession,possession_incomplete,player_on_ball_error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v1.2,COLOMBIA,ISABEL WEINER,6.0,,,488078,ISABEL WEINER,COLOMBIA,0.8273968691298867,0.9940142809010536,0.8940438338383536,0.3,0.0299999999999999,0.0,1.0,8.6,3.4481132075471694,4.3101415094339615,0.244,0.324,0,,,,8.37219424275246,3.301973665161955,4.218804295443203,0.2569266522717208,0.3411648989181867
